"gene","entrez","tpm","ModelID","PatientID","CellLineName","StrippedCellLineName","DepmapModelType","OncotreeLineage","OncotreePrimaryDisease","OncotreeSubtype","OncotreeCode","LegacyMolecularSubtype","PatientMolecularSubtype","RRID","Age","AgeCategory","Sex","PatientRace","PrimaryOrMetastasis","SampleCollectionSite","SourceType","SourceDetail","TreatmentStatus","TreatmentDetails","GrowthPattern","OnboardedMedia","FormulationID","EngineeredModel","TissueOrigin","CCLEName","CatalogNumber","PlateCoating","ModelDerivationMaterial","PublicComments","WTSIMasterCellID","SangerModelID","COSMICID","LegacySubSubtype"
"OTC","5009",0,"ACH-001113","PT-ZglKg6","LC-1/sq-SF","LC1SQSF","LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","",NA,"CVCL_5480",69,"Adult","Male","asian","Primary","lung","RIKEN","RIKEN","",NA,"Adherent","","","",NA,"LC1SQSF_LUNG","RCB0438","None","","",NA,"SIDM01226",NA,"NSCLC_squamous"
"OTC","5009",0.111031312388744,"ACH-001289","PT-773uN4","COG-AR-359","COGAR359","ATRT","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ATRT","",NA,"CVCL_RS25",NA,"Pediatric","Male","","","central_nervous_system","Academic lab","Children's Oncology Group","",NA,"Suspension","MF-005-005","IMDM + 20% FBS + 4mM Glutamine + 1x Insulin-Transferrin-Selenium","",NA,"COGAR359_SOFT_TISSUE","","None","","",NA,"",NA,""
"OTC","5009",0.01435529297707,"ACH-001339","PT-hf4hbl","Colo 794","COLO794","SKCM","Skin","Melanoma","Cutaneous Melanoma","SKCM","",NA,"CVCL_2408",14,"Pediatric","Male","","Primary","skin","Sigma-Aldrich","Sigma-Aldrich","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"COLO794_SKIN","","None","","",NA,"SIDM00514",NA,""
"OTC","5009",0.0285691521967709,"ACH-001538","PT-LDOCPR","KKU-213","KKU213","IHCH","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","IHCH","",NA,"CVCL_M261",58,"Adult","Male","","Primary","biliary_tract","JCRB","JCRB","",NA,"Adherent","MF-002-001","DMEM + 10% FBS","",NA,"KKU213_BILIARY_TRACT","JCRB1557","None","","",NA,"",NA,"intrahepatic"
"OTC","5009",0,"ACH-000242","PT-9zV4k1","RT4","RT4","BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","",NA,"CVCL_0036",63,"Adult","Male","caucasian","Primary","urinary_tract","ATCC","ATCC","",NA,"Adherent","MF-023-001","McCoy's 5A + 10% FBS","",NA,"RT4_URINARY_TRACT","HTB-2","None","","",1309,"SIDM01085",687455,"bladder_transitional_cell"
"OTC","5009",2.83592407425437,"ACH-000708","PT-dNJJRP","SNU-283","SNU283","READ","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ","",NA,"CVCL_5044",62,"Adult","Female","asian","Metastatic","abdomen","KCLB","KCLB","",NA,"Adherent","","","",NA,"SNU283_LARGE_INTESTINE","","None","","",2189,"SIDM00215",1659929,""
"OTC","5009",0,"ACH-000327","PT-oKf5lW","NCI-H1395","NCIH1395","LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","",NA,"CVCL_1467",55,"Adult","Female","caucasian","Primary","lung","ATCC","ATCC","",NA,"Adherent","MF-001-001","RPMI + 10% FBS","",NA,"NCIH1395_LUNG","CRL-5868","None","","",1826,"SIDM00644",684681,"NSCLC_adenocarcinoma"
"OTC","5009",0,"ACH-000233","PT-zshCzw","DEL","DEL","ALCLALKP","Lymphoid","Mature T and NK Neoplasms","Anaplastic Large-Cell Lymphoma ALK Positive","ALCLALKP","",NA,"CVCL_1170",12,"Pediatric","Male","","","pleural_effusion","DSMZ","DSMZ","",NA,"Suspension","MF-001-001","RPMI + 10% FBS","",NA,"DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACC 338","None","","",793,"SIDM00949",906836,"t_cell_ALCL"
"OTC","5009",0,"ACH-000461","PT-1PHTgt","SNU-1196","SNU1196","EHCH","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","EHCH","",NA,"CVCL_5015",NA,"Unknown","Unknown","","Primary","biliary_tract","KCLB","KCLB","",NA,"Adherent","MF-001-005","RPMI + 10% FBS + 2mM Glutamine + 25mM HEPES + 25mM Sodium bicarbonate","",NA,"SNU1196_BILIARY_TRACT","1196","None","","",NA,"SIDM00163",NA,"extrahepatic"
"OTC","5009",0,"ACH-000705","PT-ZglKg6","LC-1F","LC1F","LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","",NA,"CVCL_1372",69,"Adult","Male","asian","Primary","lung","RIKEN","RIKEN","",NA,"Mixed","MF-001-001","RPMI + 10% FBS","",NA,"LC1F_LUNG","RCB0439","None","","",NA,"SIDM00298",NA,"NSCLC_squamous"
