Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
TERGENIC133621,1,0.55185,0.68611,0.48589,0.86583,0.49264,0.68817,0.23289,0.28955,0.604,0.84527,0.77216,0.99611
GMPPB,8,-2.6826,-7.5228,0,0,5.36E-14,6.54E-12,-2.7164,-7.6656,0,0,1.78E-14,1.36E-11
ATP1A1,8,-2.1549,-5.0914,0,0,3.56E-07,1.17E-05,-2.2624,-5.4214,0,0,5.91E-08,2.73E-06
PNPLA6,8,-0.17487,-0.73796,0.55151,0.87689,0.46054,0.66357,-0.33296,-1.4059,0.40879,0.73036,0.15974,0.81059
SOD1,8,-2.3853,-6.9355,0,0,4.05E-12,3.86E-10,-1.9306,-5.8452,0,0,5.06E-09,3.43E-07
ATP6V0C,8,-2.7914,-7.5701,0,0,3.73E-14,4.94E-12,-2.6996,-7.4262,0,0,1.12E-13,4.87E-11
ITGAV,8,-2.9984,-6.5154,0,0,7.25E-11,4.91E-09,-2.2761,-5.0215,0,0,5.13E-07,1.64E-05
PMVK,8,-1.3973,-3.688,0.0019685,0.0375,0.00022601,0.003892,-2.2568,-5.8455,0,0,5.05E-09,3.43E-07
MYC,8,-1.9005,-6.4491,0,0,1.13E-10,7.30E-09,-1.4179,-4.8886,0.00065617,0.011905,1.02E-06,2.92E-05
HMGCR,8,-1.1079,-2.6605,0.0075459,0.1122,0.0078018,0.069532,-2.2166,-5.2053,0,0,1.94E-07,7.47E-06
ITPA,8,-2.7918,-9.0955,0,0,9.41E-20,4.78E-17,-1.9147,-6.3352,0,0,2.37E-10,2.58E-08
CAD,8,-2.6039,-8.1444,0,0,3.81E-16,7.26E-14,-2.1388,-6.8066,0,0,1.00E-11,2.34E-09
TERGENIC117469,1,-0.92469,-1.4746,0.44062,0.83624,0.14031,0.3463,0.40916,0.65247,0.26312,0.59363,0.5141,0.99611
AHCY,8,-1.7769,-6.04,0,0,1.54E-09,8.24E-08,-1.9227,-6.5507,0,0,5.73E-11,9.19E-09
ATP7A,8,-2.2898,-9.5059,0,0,1.98E-21,3.02E-18,-0.4418,-1.8651,0.23885,0.57504,0.062163,0.43859
ATP6V0B,8,-2.9053,-7.0108,0,0,2.37E-12,2.41E-10,-2.0639,-5.4931,0,0,3.95E-08,1.94E-06
ATIC,8,-3.1924,-8.3419,0,0,7.31E-17,2.03E-14,-2.3112,-6.2673,0,0,3.67E-10,3.73E-08
NFS1,8,-2.7928,-7.5432,0,0,4.59E-14,5.82E-12,-2.3589,-6.606,0,0,3.95E-11,6.96E-09
DHDDS,8,-2.559,-6.1676,0,0,6.93E-10,3.84E-08,-2.2963,-5.7433,0,0,9.28E-09,5.89E-07
ATP6V1A,8,-2.1011,-4.8748,0,0,1.09E-06,3.25E-05,-1.8303,-4.2776,0,0,1.89E-05,0.00039996
DPAGT1,8,-2.6343,-7.706,0,0,1.30E-14,2.08E-12,-2.033,-6.0211,0,0,1.73E-09,1.47E-07
ATP6V1E1,8,-1.641,-4.33,0.00065617,0.015873,1.49E-05,0.00034178,-2.0525,-5.3999,0,0,6.67E-08,2.99E-06
AMY2B,4,-0.88546,-3.4563,0.12369,0.55523,0.00054766,0.0079869,0.07869,0.30838,0.56463,0.82513,0.75779,0.99611
ABCE1,8,-2.842,-5.6591,0,0,1.52E-08,6.53E-07,-2.1992,-4.5338,0,0,5.79E-06,0.00014242
COX6B1,8,-1.4859,-4.9309,0.00098425,0.023256,8.19E-07,2.50E-05,-1.649,-5.4932,0,0,3.95E-08,1.94E-06
DOHH,8,-1.8352,-5.7469,0,0,9.09E-09,4.13E-07,-2.8061,-8.61,0,0,7.30E-18,2.23E-14
SLC25A28,8,-0.067022,-0.27502,0.75262,0.94872,0.7833,0.88525,-0.52137,-2.137,0.16306,0.49027,0.032595,0.27157
SEPHS2,8,-2.0657,-5.9024,0,0,3.58E-09,1.73E-07,-1.8572,-5.4692,0,0,4.52E-08,2.15E-06
COX17,8,-0.67405,-2.3904,0.076772,0.47465,0.016828,0.11427,-0.9278,-3.2923,0.012795,0.10428,0.00099367,0.014286
ALG2,8,-1.9218,-5.6174,0,0,1.94E-08,8.21E-07,-1.5643,-4.6379,0.00032808,0.0078125,3.52E-06,9.09E-05
CYCS,8,-3.0626,-9.4361,0,0,3.87E-21,3.93E-18,-1.9996,-6.3499,0,0,2.15E-10,2.43E-08
ATP13A3,8,-0.010747,-0.042074,0.86417,0.98137,0.96644,0.98567,-0.26538,-1.0394,0.55741,0.82038,0.29864,0.99611
GUK1,8,-2.439,-6.4414,0,0,1.18E-10,7.51E-09,-2.8198,-7.439,0,0,1.01E-13,4.87E-11
RRM1,8,-4.2321,-8.7932,0,0,1.45E-18,6.33E-16,-2.9606,-6.5079,0,0,7.62E-11,1.11E-08
FDX1L,8,-1.0621,-3.5404,0.010827,0.14732,0.00039956,0.0061716,-1.4059,-4.6865,0.00065617,0.011905,2.78E-06,7.56E-05
PIK3C3,8,-2.5244,-6.668,0,0,2.59E-11,1.93E-09,-2.3864,-6.4153,0,0,1.41E-10,1.71E-08
PPCDC,8,-1.6981,-7.0946,0.00032808,0.0096154,1.30E-12,1.41E-10,-1.414,-5.9321,0.00065617,0.011905,2.99E-09,2.17E-07
PTGS2,8,-0.25619,-1.1936,0.42848,0.82868,0.23263,0.45721,-0.071623,-0.33485,0.84908,0.96177,0.73774,0.99611
IPPK,8,-2.142,-6.7642,0,0,1.34E-11,1.10E-09,-1.3713,-4.5503,0.00065617,0.011905,5.36E-06,0.00013477
HMGCS1,8,-2.39,-6.8709,0,0,6.38E-12,5.56E-10,-1.792,-5.3079,0,0,1.11E-07,4.71E-06
NMNAT1,8,-1.1773,-3.3168,0.0049213,0.082873,0.00091051,0.012501,-1.3517,-3.8274,0.00065617,0.011905,0.00012952,0.0022371
PYROXD1,8,-0.83887,-2.5126,0.036417,0.31534,0.011984,0.092943,-1.9044,-5.5685,0,0,2.57E-08,1.37E-06
DTYMK,8,-2.1482,-6.422,0,0,1.34E-10,8.37E-09,-2.1509,-6.4763,0,0,9.40E-11,1.25E-08
RFK,8,-1.9505,-6.005,0,0,1.91E-09,9.72E-08,-1.9273,-5.9803,0,0,2.23E-09,1.74E-07
SLC33A1,8,-0.48127,-2.0787,0.18963,0.63181,0.037646,0.17845,-0.25278,-1.1,0.59154,0.84017,0.27134,0.98689
UQCR10,8,-0.7201,-2.4965,0.060696,0.4013,0.012543,0.09606,-1.0827,-3.7531,0.0022966,0.03211,0.00017464,0.0029248
GFPT1,8,-0.81735,-2.8972,0.040354,0.32713,0.0037651,0.039034,-0.78666,-2.7937,0.036745,0.21663,0.0052104,0.063021
UMPS,8,-2.0827,-5.9236,0,0,3.15E-09,1.55E-07,-1.8574,-5.4574,0,0,4.83E-08,2.27E-06
PKM,8,-2.7264,-8.2232,0,0,1.98E-16,4.65E-14,-1.9121,-5.9963,0,0,2.02E-09,1.66E-07
MVD,8,-1.7602,-5.2524,0,0,1.50E-07,5.26E-06,-1.7149,-5.1909,0,0,2.09E-07,7.97E-06
MAT2A,8,-1.8554,-5.1269,0,0,2.95E-07,9.87E-06,-1.6434,-4.5766,0,0,4.73E-06,0.00012004
ATP5SL,8,-0.30933,-1.8088,0.35991,0.79181,0.070484,0.24583,-0.41644,-2.4368,0.26936,0.59971,0.014818,0.15055
